x,y,ct
0.0,0.0,1.0
20.92338594768798,0.0,1.0
44.37899321811845,0.0,0.0
69.76716055815203,0.0,3.0
96.61935556211962,0.0,2.0
125.40052992602908,0.0,1.0
152.1052050278131,0.0,0.0
177.6921033122706,0.0,0.0
199.6731182031194,0.0,3.0
229.3557339603134,0.0,1.0
256.27896011700653,0.0,3.0
285.225026752045,0.0,3.0
305.6155745843738,0.0,3.0
334.3969996186679,0.0,3.0
358.6080758687184,0.0,3.0
383.9397287184486,0.0,1.0
407.0948850285092,0.0,0.0
435.44114174748296,0.0,0.0
462.94258489693266,0.0,2.0
490.42424144073107,0.0,2.0
518.317034725246,0.0,3.0
542.795969987005,0.0,2.0
565.7321114707419,0.0,3.0
587.0323971919247,0.0,1.0
613.8207525213236,0.0,3.0
636.4762191150459,0.0,3.0
657.0098445662167,0.0,0.0
678.4771303152747,0.0,3.0
705.474713915484,0.0,3.0
729.6152737936796,0.0,0.0
753.7570664889487,0.0,1.0
779.1160305481038,0.0,3.0
804.264921668687,0.0,2.0
830.1304720737069,0.0,2.0
851.5052191151692,0.0,2.0
879.5791320022645,0.0,1.0
901.2326739734339,0.0,3.0
924.7103325708889,0.0,0.0
951.9703124243935,0.0,1.0
1000.0,0.0,0.0
1000.0,1000.0,2.0
971.0411378180394,1000.0,3.0
941.3927373465556,1000.0,2.0
915.1757801444644,1000.0,0.0
885.6808875573937,1000.0,2.0
859.8969914135224,1000.0,2.0
837.5267216110922,1000.0,1.0
811.7899267443693,1000.0,1.0
785.618477608162,1000.0,1.0
760.347896585586,1000.0,3.0
736.775198985561,1000.0,3.0
710.541597827643,1000.0,1.0
681.2472254902054,1000.0,3.0
651.2739969856906,1000.0,1.0
629.9026394894018,1000.0,0.0
602.9344578745029,1000.0,2.0
575.3798273484782,1000.0,2.0
546.1495819930134,1000.0,1.0
524.9068723732918,1000.0,3.0
504.6447625045146,1000.0,1.0
482.1826518284841,1000.0,1.0
456.7943411850676,1000.0,2.0
428.37403226147154,1000.0,2.0
405.58219547136014,1000.0,0.0
375.8862379881634,1000.0,2.0
355.69976509443393,1000.0,1.0
333.3700223560237,1000.0,3.0
309.491415915382,1000.0,1.0
282.0201994880101,1000.0,0.0
260.6556472314033,1000.0,1.0
239.44221267399593,1000.0,1.0
218.367271382935,1000.0,1.0
191.23738157910824,1000.0,0.0
171.1118217775171,1000.0,2.0
141.43905847751438,1000.0,1.0
119.40612613090448,1000.0,3.0
91.96786759015356,1000.0,2.0
66.15427831742099,1000.0,1.0
0.0,1000.0,3.0
619.9557183813797,828.9808995501787,0.0
18.576202177409517,70.02214371922233,0.0
606.3294616533303,568.8514370864814,0.0
988.6161544124489,579.7452192457969,0.0
550.9482191178968,745.3344309065021,2.0
264.9195576628094,66.33483442844157,2.0
629.7175070215645,210.1740099148396,1.0
66.53648135411494,260.315098578541,1.0
193.43428262332773,639.4608808799401,3.0
924.8079703993507,263.29677048711096,2.0
735.0659632886694,772.1780295432468,0.0
616.7783570016576,949.0163206876165,1.0
556.6531881951564,915.6063497662745,0.0
390.00771414124625,485.99066709690976,3.0
394.8756129235549,963.2625284407118,1.0
