x,y,ct
0.0,0.0,0.0
23.30334821003874,0.0,1.0
49.49605787354538,0.0,3.0
72.16433062457405,0.0,2.0
97.45575156734444,0.0,1.0
122.5915327800019,0.0,1.0
150.44488425816863,0.0,3.0
175.3872526319879,0.0,0.0
196.1837074020785,0.0,2.0
216.8365724459473,0.0,3.0
237.8018816025534,0.0,0.0
263.7693346923394,0.0,1.0
284.8387915354392,0.0,0.0
308.3370543854722,0.0,1.0
330.35448664812185,0.0,0.0
355.1851850036394,0.0,3.0
379.05411151482497,0.0,1.0
404.854153303603,0.0,3.0
431.8616767696746,0.0,2.0
456.86176038137677,0.0,2.0
480.2778969080879,0.0,1.0
504.55335654104897,0.0,0.0
532.31894839102,0.0,3.0
561.8563706604687,0.0,1.0
582.677319883219,0.0,1.0
611.185824923264,0.0,0.0
631.4578485822125,0.0,3.0
652.129292289582,0.0,0.0
681.8350954233538,0.0,0.0
707.8532666374084,0.0,2.0
729.5455211032502,0.0,1.0
754.7861898562538,0.0,1.0
775.2429795087078,0.0,2.0
799.6565287022562,0.0,1.0
822.8919418776031,0.0,0.0
846.7608407308107,0.0,3.0
874.1283112936819,0.0,3.0
894.2584846606275,0.0,2.0
916.9523726365904,0.0,3.0
937.2078820550873,0.0,0.0
1000.0,0.0,1.0
1000.0,1000.0,2.0
974.4902209467558,1000.0,2.0
953.3624587943751,1000.0,0.0
932.944481696222,1000.0,0.0
906.3693578196317,1000.0,1.0
882.2018234176783,1000.0,3.0
855.5870101505238,1000.0,1.0
826.7704877930383,1000.0,3.0
805.4309457113214,1000.0,1.0
777.943166928553,1000.0,3.0
752.5097146227139,1000.0,3.0
723.3251281568179,1000.0,2.0
699.8627490622664,1000.0,2.0
670.7235942906151,1000.0,3.0
645.3216791339438,1000.0,2.0
617.0591808496022,1000.0,3.0
595.2920592337579,1000.0,2.0
570.3993975638093,1000.0,3.0
543.4041913659038,1000.0,1.0
521.537919910039,1000.0,1.0
498.7973273846785,1000.0,3.0
472.5037301563827,1000.0,2.0
450.6308647093637,1000.0,1.0
427.7933066347112,1000.0,0.0
404.93726929560216,1000.0,1.0
379.4423010847181,1000.0,1.0
349.5572040768765,1000.0,0.0
327.23602156251485,1000.0,1.0
305.62135593359807,1000.0,2.0
283.4473316705478,1000.0,0.0
256.91712653823674,1000.0,2.0
236.60465091558413,1000.0,3.0
209.55837592437953,1000.0,0.0
189.25248109243634,1000.0,2.0
163.3546611777187,1000.0,0.0
142.69802451565494,1000.0,1.0
118.7465169309799,1000.0,1.0
96.7662458128182,1000.0,0.0
72.44235485836973,1000.0,1.0
49.53808742901984,1000.0,1.0
0.0,1000.0,0.0
425.3672919053865,444.5742647637577,2.0
